Iteration,Discriminator Loss,Generator Loss
4270,1.353680,0.687088
4280,1.351994,0.700095
4290,1.220076,0.695483
4300,1.244560,0.622634
4310,1.174597,0.419308
4320,1.353109,0.732255
4330,1.222435,0.471947
4340,1.284390,0.465562
4350,1.328053,0.534966
4360,1.370204,0.555951
4370,1.323207,0.805245
4380,1.308049,0.538550
4390,1.347376,0.664564
4400,1.311081,0.589011
4410,1.202048,0.524962
4420,1.306573,0.654266
4430,1.251669,0.439432
4440,1.270393,0.605307
4450,1.294088,0.460971
4460,1.253655,0.567904
4470,1.371388,0.625098
4480,1.290387,0.663982
4490,1.187288,0.517477
4500,1.296421,0.652918
4510,1.357015,0.677281
4520,1.307574,0.770675
4530,1.269952,0.625020
4540,1.273498,0.576461
4550,1.299040,0.541433
4560,1.337679,0.516639
4570,1.309899,0.779971
4580,1.352659,0.599365
4590,1.344710,0.686309
4600,1.340138,0.441567
4610,1.307517,0.653606
4620,1.361615,0.662715
4630,1.308444,0.707147
4640,1.264035,0.511607
4650,1.273075,0.423401
4660,1.212907,0.440961
4670,1.324014,0.517670
4680,1.188183,0.530620
4690,1.393602,0.782589
4700,1.282819,0.453439
4710,1.309072,0.617472
4720,1.370316,0.665291
4730,1.153367,0.767848
4740,1.283719,0.680443
4750,1.174839,0.427026
4760,1.212636,0.562285
4770,1.197282,0.501055
4780,1.188618,0.596435
4790,1.212244,0.650198
4800,1.225564,0.469336
4810,1.281703,0.429628
4820,1.289187,0.623826
4830,1.316971,0.482890
4840,1.278824,0.569565
4850,1.370021,0.603036
4860,1.387978,0.685346
4870,1.267617,0.420835
4880,1.121584,0.529793
4890,1.353537,0.651784
4900,1.143606,0.667420
4910,1.083714,0.696603
4920,1.353660,0.712117
4930,1.337225,0.609162
4940,1.324370,0.685182
4950,1.203439,0.555719
4960,1.391877,0.554698
4970,1.136283,0.550994
4980,1.380419,0.659229
4990,1.284292,0.505897
5000,1.362751,0.667302
5010,1.277972,0.500978
5020,1.344671,0.588773
5030,1.374514,0.641387
5040,1.307848,0.690190
5050,1.344549,0.692209
5060,1.424544,0.387091
